frame.time,ip.src,ip.dst,ip.proto,tcp.flags,tcp.seq,tcp.window_size,frame.len,label,attack_type
2025-12-08 16:16:21.409860,192.168.3.151,10.0.1.230,17,18,616690,12130,273,0,normal
2025-12-08 16:15:35.544860,192.168.1.34,10.0.4.7,6,24,769064,16444,719,0,normal
2025-12-08 16:16:24.418860,203.0.79.232,10.0.5.102,17,0,0,74,1168,1,udp_flood
2025-12-08 16:15:35.436860,192.168.5.143,10.0.2.19,17,16,1736378,12592,366,0,normal
2025-12-08 16:16:02.053860,192.168.5.158,10.0.0.73,6,16,235012,17607,627,0,normal
2025-12-08 16:15:58.346860,192.168.4.204,10.0.4.161,17,16,872070,2643,458,0,normal
2025-12-08 16:16:02.476860,192.168.4.87,10.0.4.93,6,18,1472969,8666,318,0,normal
2025-12-08 16:15:40.632860,192.168.5.47,10.0.5.222,6,16,1877202,12408,399,0,normal
2025-12-08 16:16:12.727860,192.168.3.92,10.0.1.231,6,24,526016,11019,576,0,normal
2025-12-08 16:15:33.926860,192.168.4.43,10.0.4.201,17,24,1605140,1366,534,0,normal
2025-12-08 16:16:07.136860,192.168.1.105,10.0.1.213,6,24,727798,12455,653,0,normal
2025-12-08 16:15:38.472860,192.168.3.139,10.0.4.226,6,18,546540,4032,610,0,normal
2025-12-08 16:16:21.567860,192.168.3.120,10.0.3.207,6,24,1577669,9438,775,0,normal
2025-12-08 16:16:02.229860,192.168.3.139,10.0.2.187,17,18,823136,3180,196,0,normal
2025-12-08 16:16:01.111860,192.168.0.204,10.0.4.97,17,18,542789,4729,684,0,normal
2025-12-08 16:16:07.104860,192.168.4.34,10.0.1.222,17,18,1876765,10287,534,0,normal
2025-12-08 16:16:04.982860,192.168.1.226,10.0.2.29,17,16,1939608,2394,308,0,normal
2025-12-08 16:16:12.742860,192.168.2.100,10.0.1.24,17,18,654023,12792,87,0,normal
2025-12-08 16:15:47.598860,192.168.3.235,10.0.2.245,6,24,878143,15768,696,0,normal
2025-12-08 16:15:47.785860,192.168.2.97,10.0.5.78,6,16,1142130,17476,411,0,normal
2025-12-08 16:16:24.538860,203.0.32.151,10.0.2.29,17,0,0,126,1042,1,udp_flood
2025-12-08 16:16:20.569860,192.168.3.152,10.0.4.53,17,18,1736292,14887,521,0,normal
2025-12-08 16:15:51.495860,192.168.2.246,10.0.0.235,17,24,144660,19080,514,0,normal
2025-12-08 16:16:23.537860,198.51.154.110,10.0.3.238,6,2,8489,312,83,1,syn_flood
2025-12-08 16:16:10.082860,192.168.3.85,10.0.2.207,17,18,1840936,19035,538,0,normal
2025-12-08 16:15:32.309860,192.168.5.148,10.0.1.101,17,18,1412298,9534,689,0,normal
2025-12-08 16:15:50.141860,192.168.0.166,10.0.3.103,17,16,953805,10654,289,0,normal
2025-12-08 16:15:56.336860,192.168.2.111,10.0.2.232,17,24,117646,4194,63,0,normal
2025-12-08 16:16:23.009860,198.51.84.218,10.0.5.17,6,2,9969,672,174,1,syn_flood
2025-12-08 16:15:36.780860,192.168.4.4,10.0.3.205,17,18,405658,12196,214,0,normal
2025-12-08 16:16:16.556860,192.168.1.126,10.0.2.154,17,18,1256190,11633,695,0,normal
2025-12-08 16:16:10.443860,192.168.1.117,10.0.0.180,6,18,1249977,9911,238,0,normal
2025-12-08 16:16:22.555860,198.51.126.116,10.0.0.206,6,2,7802,460,126,1,syn_flood
2025-12-08 16:16:24.073860,203.0.25.39,10.0.0.51,17,0,0,169,1231,1,udp_flood
2025-12-08 16:16:24.513860,203.0.139.38,10.0.2.186,17,0,0,94,1142,1,udp_flood
2025-12-08 16:15:48.802860,192.168.2.106,10.0.1.9,17,24,21075,16898,105,0,normal
2025-12-08 16:15:32.944860,192.168.3.74,10.0.0.100,17,18,759640,19206,299,0,normal
2025-12-08 16:15:37.418860,192.168.3.240,10.0.1.72,17,16,1689999,7941,665,0,normal
2025-12-08 16:15:33.855860,192.168.5.158,10.0.0.173,17,16,1055783,14991,694,0,normal
2025-12-08 16:15:42.761860,192.168.5.61,10.0.3.129,6,16,1040948,18761,176,0,normal
2025-12-08 16:15:53.580860,192.168.2.126,10.0.5.20,17,24,980642,6640,267,0,normal
2025-12-08 16:15:59.289860,192.168.2.105,10.0.3.234,6,24,1229575,9234,655,0,normal
2025-12-08 16:16:24.603860,203.0.152.197,10.0.2.129,17,0,0,182,1290,1,udp_flood
2025-12-08 16:16:20.290860,192.168.1.102,10.0.1.155,6,18,870937,5142,583,0,normal
2025-12-08 16:16:15.432860,192.168.2.71,10.0.4.38,17,18,1784352,9567,656,0,normal
2025-12-08 16:16:11.227860,192.168.0.243,10.0.3.254,17,24,853879,1661,383,0,normal
2025-12-08 16:16:08.054860,192.168.1.51,10.0.4.224,6,16,693556,19231,229,0,normal
2025-12-08 16:15:49.505860,192.168.5.177,10.0.2.18,17,16,790740,9518,358,0,normal
2025-12-08 16:15:38.147860,192.168.1.10,10.0.2.143,17,16,114213,4902,157,0,normal
2025-12-08 16:15:48.277860,192.168.2.164,10.0.0.173,6,24,377574,18538,413,0,normal
2025-12-08 16:15:46.482860,192.168.5.205,10.0.2.249,6,18,770435,6929,74,0,normal
2025-12-08 16:16:12.497860,192.168.1.74,10.0.5.158,17,16,266165,3743,217,0,normal
2025-12-08 16:16:13.926860,192.168.1.30,10.0.1.73,6,16,574299,3066,177,0,normal
2025-12-08 16:16:17.500860,192.168.3.44,10.0.5.247,6,16,412497,8284,214,0,normal
2025-12-08 16:16:05.901860,192.168.4.175,10.0.5.31,17,24,169779,2473,443,0,normal
2025-12-08 16:15:44.646860,192.168.0.172,10.0.3.64,6,24,970591,18662,270,0,normal
2025-12-08 16:15:58.877860,192.168.0.101,10.0.4.13,6,24,1343990,7017,126,0,normal
2025-12-08 16:16:04.535860,192.168.3.25,10.0.3.178,6,18,1070179,4389,651,0,normal
2025-12-08 16:15:54.927860,192.168.3.243,10.0.4.157,17,16,1038801,18434,130,0,normal
2025-12-08 16:16:09.383860,192.168.2.4,10.0.5.106,6,16,504122,7591,226,0,normal
2025-12-08 16:16:24.968860,198.51.216.29,10.0.3.97,6,0,2104,4724,146,1,port_scan
2025-12-08 16:15:44.563860,192.168.0.68,10.0.0.196,6,16,22131,11173,186,0,normal
2025-12-08 16:15:47.467860,192.168.4.4,10.0.0.127,17,18,1530710,12140,664,0,normal
2025-12-08 16:15:46.936860,192.168.1.160,10.0.1.223,6,16,1529844,5784,595,0,normal
2025-12-08 16:16:23.538860,198.51.162.190,10.0.1.65,6,2,9509,540,88,1,syn_flood
2025-12-08 16:15:39.818860,192.168.2.73,10.0.0.224,17,24,1148930,8476,738,0,normal
2025-12-08 16:15:48.433860,192.168.3.115,10.0.2.43,6,24,126860,19079,680,0,normal
2025-12-08 16:15:47.840860,192.168.4.32,10.0.3.249,17,16,64911,13520,774,0,normal
2025-12-08 16:16:20.572860,192.168.5.125,10.0.4.63,17,16,1984429,11667,862,0,normal
2025-12-08 16:15:38.324860,192.168.5.99,10.0.2.168,17,18,278965,19301,257,0,normal
2025-12-08 16:16:03.808860,192.168.5.23,10.0.0.116,6,18,1565484,14115,543,0,normal
2025-12-08 16:16:15.573860,192.168.4.77,10.0.1.254,17,18,630260,9893,274,0,normal
2025-12-08 16:15:52.880860,192.168.2.29,10.0.3.131,6,24,527539,17743,770,0,normal
2025-12-08 16:16:18.769860,192.168.4.46,10.0.1.223,17,24,1643863,3634,639,0,normal
2025-12-08 16:15:33.029860,192.168.1.154,10.0.4.20,17,18,316007,11984,725,0,normal
2025-12-08 16:16:00.049860,192.168.5.72,10.0.3.233,6,24,1969129,19608,106,0,normal
2025-12-08 16:15:41.837860,192.168.5.180,10.0.2.208,6,18,1549007,8488,240,0,normal
2025-12-08 16:16:01.183860,192.168.1.96,10.0.0.213,6,16,192694,12576,214,0,normal
2025-12-08 16:16:24.527860,203.0.5.146,10.0.0.40,17,0,0,112,1060,1,udp_flood
2025-12-08 16:16:23.590860,198.51.98.63,10.0.0.242,6,2,1760,536,179,1,syn_flood
2025-12-08 16:16:00.970860,192.168.2.38,10.0.1.29,6,24,316277,18037,552,0,normal
2025-12-08 16:15:39.394860,192.168.2.206,10.0.5.33,17,16,1466395,4140,703,0,normal
2025-12-08 16:16:11.131860,192.168.2.185,10.0.4.63,17,18,1832791,9279,322,0,normal
2025-12-08 16:16:25.388860,198.51.142.67,10.0.2.192,6,0,8960,3827,112,1,port_scan
2025-12-08 16:15:50.219860,192.168.3.62,10.0.3.253,17,16,1779888,16760,398,0,normal
2025-12-08 16:16:11.513860,192.168.1.250,10.0.2.210,17,16,1673314,10167,73,0,normal
2025-12-08 16:15:47.075860,192.168.4.173,10.0.5.246,17,18,1415475,10013,675,0,normal
2025-12-08 16:16:24.433860,203.0.237.60,10.0.1.99,17,0,0,71,1597,1,udp_flood
2025-12-08 16:16:18.364860,192.168.2.189,10.0.1.115,17,16,518416,9096,555,0,normal
2025-12-08 16:16:25.060860,198.51.118.172,10.0.3.102,6,0,19339,895,160,1,port_scan
2025-12-08 16:16:02.918860,192.168.1.220,10.0.0.144,6,16,1711863,18982,396,0,normal
2025-12-08 16:16:11.537860,192.168.0.16,10.0.2.51,6,16,1220467,7765,755,0,normal
2025-12-08 16:16:23.085860,198.51.209.195,10.0.5.135,6,2,9011,828,135,1,syn_flood
2025-12-08 16:15:31.574860,192.168.5.239,10.0.1.170,6,18,1877939,5987,641,0,normal
2025-12-08 16:16:19.025860,192.168.4.213,10.0.3.82,17,18,97448,17896,355,0,normal
2025-12-08 16:16:04.490860,192.168.5.40,10.0.1.70,6,24,1642960,18574,194,0,normal
2025-12-08 16:16:00.265860,192.168.2.236,10.0.0.206,6,24,1228858,5664,595,0,normal
2025-12-08 16:15:50.749860,192.168.0.53,10.0.0.116,6,16,795857,17892,180,0,normal
2025-12-08 16:15:41.529860,192.168.4.20,10.0.2.229,17,16,1807838,7933,451,0,normal
2025-12-08 16:15:44.830860,192.168.3.56,10.0.3.195,6,24,1894625,2772,681,0,normal
2025-12-08 16:16:02.630860,192.168.3.42,10.0.0.118,17,16,293569,6128,691,0,normal
2025-12-08 16:15:37.333860,192.168.3.130,10.0.5.29,6,18,743160,17648,616,0,normal
2025-12-08 16:16:14.995860,192.168.4.37,10.0.2.225,17,16,86983,17620,169,0,normal
2025-12-08 16:15:55.394860,192.168.1.90,10.0.5.218,17,24,1349965,14680,362,0,normal
2025-12-08 16:15:58.067860,192.168.1.93,10.0.0.105,17,18,87217,6153,104,0,normal
2025-12-08 16:15:47.051860,192.168.2.254,10.0.0.16,6,16,1109225,10320,120,0,normal
2025-12-08 16:15:37.381860,192.168.1.117,10.0.5.147,6,16,123028,9675,541,0,normal
2025-12-08 16:15:40.879860,192.168.4.82,10.0.2.5,17,24,1953723,19803,96,0,normal
2025-12-08 16:16:22.793860,198.51.208.29,10.0.0.253,6,2,4848,697,178,1,syn_flood
2025-12-08 16:15:50.678860,192.168.5.70,10.0.0.97,17,24,1300366,14292,711,0,normal
2025-12-08 16:15:41.608860,192.168.5.16,10.0.5.138,6,18,997537,19443,386,0,normal
2025-12-08 16:16:23.418860,198.51.76.137,10.0.2.194,6,2,867,432,186,1,syn_flood
2025-12-08 16:16:22.790860,198.51.209.191,10.0.1.145,6,2,6437,976,113,1,syn_flood
2025-12-08 16:15:40.079860,192.168.1.32,10.0.0.148,6,16,198825,4674,390,0,normal
2025-12-08 16:15:53.997860,192.168.2.54,10.0.2.58,6,18,196206,9993,61,0,normal
2025-12-08 16:16:09.592860,192.168.0.30,10.0.5.90,6,24,603197,1321,372,0,normal
2025-12-08 16:16:25.109860,198.51.248.35,10.0.0.207,6,0,17795,3266,184,1,port_scan
2025-12-08 16:16:24.318860,203.0.138.156,10.0.1.146,17,0,0,194,1111,1,udp_flood
2025-12-08 16:16:06.269860,192.168.4.52,10.0.4.199,6,24,1081556,10014,324,0,normal
2025-12-08 16:16:04.769860,192.168.5.228,10.0.0.195,17,18,145753,19139,447,0,normal
2025-12-08 16:16:21.051860,192.168.2.34,10.0.1.162,6,16,1728535,16614,168,0,normal
2025-12-08 16:16:23.632860,198.51.235.214,10.0.0.31,6,2,6946,852,67,1,syn_flood
2025-12-08 16:16:24.587860,203.0.191.218,10.0.5.64,17,0,0,112,1189,1,udp_flood
2025-12-08 16:16:08.757860,192.168.5.48,10.0.1.20,17,24,1872552,9866,178,0,normal
2025-12-08 16:16:18.468860,192.168.5.66,10.0.5.213,17,16,766293,7983,601,0,normal
2025-12-08 16:15:48.489860,192.168.5.151,10.0.5.248,17,18,1080920,18443,566,0,normal
2025-12-08 16:16:02.391860,192.168.3.227,10.0.0.132,6,24,763837,3625,169,0,normal
2025-12-08 16:15:53.313860,192.168.1.74,10.0.0.98,17,24,276295,6759,70,0,normal
2025-12-08 16:16:11.275860,192.168.1.103,10.0.5.243,17,16,259912,16261,428,0,normal
2025-12-08 16:15:52.460860,192.168.0.231,10.0.0.204,17,16,1699702,2470,185,0,normal
2025-12-08 16:15:59.746860,192.168.0.243,10.0.1.246,6,24,987993,8625,174,0,normal
2025-12-08 16:15:49.696860,192.168.3.88,10.0.3.130,6,16,1508000,5698,433,0,normal
2025-12-08 16:16:24.907860,198.51.33.161,10.0.5.102,6,2,70162,110,194,1,port_scan
2025-12-08 16:16:22.549860,198.51.47.211,10.0.1.224,6,2,7089,584,99,1,syn_flood
2025-12-08 16:15:32.285860,192.168.4.15,10.0.3.198,17,16,1488788,11937,355,0,normal
2025-12-08 16:16:00.467860,192.168.3.12,10.0.2.23,6,24,1184735,14142,242,0,normal
2025-12-08 16:15:34.309860,192.168.2.138,10.0.5.206,6,16,658170,9094,318,0,normal
2025-12-08 16:16:02.231860,192.168.5.169,10.0.1.143,6,16,1334853,9939,260,0,normal
2025-12-08 16:16:23.615860,198.51.157.211,10.0.5.207,6,2,5744,335,111,1,syn_flood
2025-12-08 16:15:59.885860,192.168.4.108,10.0.0.116,6,16,1423648,15983,291,0,normal
2025-12-08 16:16:14.068860,192.168.4.242,10.0.3.97,6,24,195800,4922,228,0,normal
2025-12-08 16:16:01.792860,192.168.4.2,10.0.5.52,6,18,516554,5789,170,0,normal
2025-12-08 16:15:48.473860,192.168.1.24,10.0.4.50,6,18,309665,9398,739,0,normal
2025-12-08 16:16:03.130860,192.168.3.130,10.0.4.75,17,18,1006761,17786,697,0,normal
2025-12-08 16:15:45.462860,192.168.1.68,10.0.1.155,6,18,66765,15994,564,0,normal
2025-12-08 16:15:49.142860,192.168.1.172,10.0.0.13,17,24,240683,17506,215,0,normal
2025-12-08 16:15:34.305860,192.168.3.133,10.0.4.193,17,18,829123,2384,443,0,normal
2025-12-08 16:15:59.701860,192.168.0.184,10.0.1.187,6,16,367215,19005,517,0,normal
2025-12-08 16:16:23.021860,198.51.78.115,10.0.2.129,6,2,400,971,182,1,syn_flood
2025-12-08 16:16:23.327860,198.51.252.228,10.0.0.237,6,2,226,20,125,1,syn_flood
2025-12-08 16:16:00.334860,192.168.1.93,10.0.1.27,17,24,156915,10802,374,0,normal
2025-12-08 16:16:03.913860,192.168.0.5,10.0.1.173,17,16,766375,5113,537,0,normal
2025-12-08 16:15:51.150860,192.168.5.68,10.0.1.230,6,16,1946449,14350,475,0,normal
2025-12-08 16:16:18.266860,192.168.1.159,10.0.1.208,17,24,1217196,3991,95,0,normal
2025-12-08 16:15:57.726860,192.168.4.25,10.0.1.10,6,18,968511,18813,583,0,normal
2025-12-08 16:16:23.321860,198.51.226.217,10.0.3.204,6,2,559,3,62,1,syn_flood
2025-12-08 16:15:42.881860,192.168.0.22,10.0.3.222,6,16,591900,10775,194,0,normal
2025-12-08 16:16:14.209860,192.168.0.146,10.0.1.171,6,18,594341,6047,103,0,normal
2025-12-08 16:15:53.932860,192.168.0.65,10.0.5.194,17,24,1131804,5436,637,0,normal
2025-12-08 16:15:47.714860,192.168.1.84,10.0.0.44,17,16,1879767,16683,89,0,normal
2025-12-08 16:15:34.858860,192.168.4.39,10.0.0.70,6,18,980248,8510,216,0,normal
2025-12-08 16:15:46.072860,192.168.3.147,10.0.1.91,6,18,281239,19880,302,0,normal
2025-12-08 16:16:01.806860,192.168.2.107,10.0.4.182,6,24,802483,2505,458,0,normal
2025-12-08 16:16:20.785860,192.168.2.19,10.0.2.63,6,24,276399,4996,174,0,normal
2025-12-08 16:15:33.281860,192.168.2.18,10.0.5.105,17,16,902336,18051,383,0,normal
2025-12-08 16:15:41.390860,192.168.1.76,10.0.3.15,17,18,1770171,9384,378,0,normal
2025-12-08 16:15:31.603860,192.168.4.229,10.0.4.12,6,18,1995946,17933,193,0,normal
2025-12-08 16:16:14.237860,192.168.4.116,10.0.2.136,17,16,108643,4943,346,0,normal
2025-12-08 16:16:03.039860,192.168.3.246,10.0.0.103,6,24,1873079,15961,198,0,normal
2025-12-08 16:16:11.659860,192.168.4.66,10.0.2.44,17,16,388210,2343,612,0,normal
2025-12-08 16:15:47.571860,192.168.0.127,10.0.2.182,17,24,817248,17723,535,0,normal
2025-12-08 16:15:50.959860,192.168.0.182,10.0.4.246,6,24,1738150,12026,512,0,normal
2025-12-08 16:15:33.269860,192.168.3.8,10.0.4.254,17,24,938809,7372,504,0,normal
2025-12-08 16:15:46.604860,192.168.1.120,10.0.4.63,6,18,1390654,1462,106,0,normal
2025-12-08 16:15:59.533860,192.168.4.103,10.0.1.113,17,18,1864435,11483,568,0,normal
2025-12-08 16:16:15.846860,192.168.5.170,10.0.5.148,17,18,390229,8965,79,0,normal
2025-12-08 16:15:43.109860,192.168.2.178,10.0.5.224,6,18,522197,1765,543,0,normal
2025-12-08 16:16:03.899860,192.168.0.243,10.0.2.4,17,24,260974,18400,767,0,normal
2025-12-08 16:15:50.856860,192.168.5.253,10.0.3.210,17,16,1941307,6122,787,0,normal
2025-12-08 16:15:53.626860,192.168.4.160,10.0.1.214,6,16,1209876,11587,263,0,normal
2025-12-08 16:16:14.227860,192.168.1.235,10.0.0.152,6,24,1391641,10804,68,0,normal
2025-12-08 16:15:58.830860,192.168.2.206,10.0.1.55,6,24,204990,11381,322,0,normal
2025-12-08 16:15:53.692860,192.168.3.25,10.0.0.100,6,16,1674442,13894,789,0,normal
2025-12-08 16:15:59.418860,192.168.2.4,10.0.5.5,6,16,29054,17194,662,0,normal
2025-12-08 16:16:25.476860,198.51.159.31,10.0.0.127,6,2,83649,3278,89,1,port_scan
2025-12-08 16:15:38.742860,192.168.3.216,10.0.5.212,17,18,346467,1027,193,0,normal
2025-12-08 16:16:11.654860,192.168.2.192,10.0.2.251,6,16,1481271,6493,702,0,normal
2025-12-08 16:16:24.591860,203.0.1.195,10.0.3.204,17,0,0,191,1467,1,udp_flood
2025-12-08 16:15:49.787860,192.168.0.205,10.0.0.64,17,16,722404,13421,211,0,normal
2025-12-08 16:16:01.010860,192.168.5.74,10.0.0.172,17,24,948301,15615,744,0,normal
2025-12-08 16:16:01.247860,192.168.4.26,10.0.5.253,17,16,1082082,4940,275,0,normal
2025-12-08 16:16:22.594860,198.51.63.21,10.0.5.142,6,2,7848,894,189,1,syn_flood
2025-12-08 16:16:21.264860,192.168.3.157,10.0.1.112,17,18,1858701,13599,425,0,normal
2025-12-08 16:16:22.533860,198.51.225.243,10.0.3.112,6,2,5316,160,168,1,syn_flood
2025-12-08 16:15:37.589860,192.168.5.244,10.0.2.74,6,16,293765,3371,612,0,normal
2025-12-08 16:15:37.910860,192.168.0.90,10.0.5.93,17,16,638395,10051,457,0,normal
2025-12-08 16:15:42.925860,192.168.0.72,10.0.1.47,6,18,108902,19012,388,0,normal
2025-12-08 16:15:59.750860,192.168.3.8,10.0.2.221,17,24,1813550,4162,212,0,normal
2025-12-08 16:15:51.618860,192.168.3.58,10.0.1.89,17,16,1817807,16014,519,0,normal
2025-12-08 16:15:57.183860,192.168.0.61,10.0.2.131,17,18,1029305,1628,553,0,normal
2025-12-08 16:15:33.866860,192.168.5.72,10.0.1.95,17,24,788061,19717,310,0,normal
2025-12-08 16:16:12.439860,192.168.1.140,10.0.1.188,6,16,1449465,7785,69,0,normal
2025-12-08 16:15:44.268860,192.168.1.218,10.0.0.224,17,18,1409587,1483,239,0,normal
2025-12-08 16:16:16.923860,192.168.0.166,10.0.0.16,17,18,1392670,15438,153,0,normal
2025-12-08 16:16:05.696860,192.168.4.69,10.0.5.241,6,18,136909,5210,743,0,normal
2025-12-08 16:15:41.999860,192.168.4.168,10.0.1.54,17,16,1738536,9198,714,0,normal
2025-12-08 16:16:23.103860,198.51.205.30,10.0.0.232,6,2,9469,369,135,1,syn_flood
2025-12-08 16:16:00.443860,192.168.2.190,10.0.4.96,17,16,438838,13385,348,0,normal
2025-12-08 16:16:21.230860,192.168.4.59,10.0.3.34,17,24,1601045,11988,742,0,normal
2025-12-08 16:16:07.094860,192.168.3.145,10.0.0.185,6,24,1529257,18730,484,0,normal
2025-12-08 16:16:15.964860,192.168.0.231,10.0.3.25,17,18,1768111,16023,458,0,normal
2025-12-08 16:15:55.472860,192.168.1.26,10.0.1.187,17,24,1702585,6476,589,0,normal
2025-12-08 16:16:24.337860,203.0.184.229,10.0.2.242,17,0,0,36,1156,1,udp_flood
2025-12-08 16:15:56.537860,192.168.0.64,10.0.3.242,17,24,1277203,11338,153,0,normal
2025-12-08 16:16:22.457860,192.168.2.242,10.0.2.186,17,16,1037387,4631,179,0,normal
2025-12-08 16:16:23.484860,198.51.98.168,10.0.2.9,6,2,8876,72,180,1,syn_flood
2025-12-08 16:15:36.433860,192.168.5.12,10.0.2.200,6,18,1511825,19627,420,0,normal
2025-12-08 16:15:57.734860,192.168.5.158,10.0.3.143,17,24,329334,9201,377,0,normal
2025-12-08 16:16:14.616860,192.168.1.15,10.0.4.72,6,16,1054093,8455,725,0,normal
2025-12-08 16:15:55.418860,192.168.2.138,10.0.3.98,6,24,1015278,6644,159,0,normal
2025-12-08 16:16:24.837860,203.0.98.69,10.0.2.97,17,0,0,183,1308,1,udp_flood
2025-12-08 16:16:21.889860,192.168.1.47,10.0.3.183,6,16,1715508,7771,648,0,normal
2025-12-08 16:15:59.428860,192.168.5.3,10.0.4.81,17,16,1466548,8476,302,0,normal
2025-12-08 16:15:33.642860,192.168.3.72,10.0.0.108,17,18,746911,5608,723,0,normal
2025-12-08 16:16:05.641860,192.168.2.217,10.0.1.14,6,24,1852030,2652,775,0,normal
2025-12-08 16:15:34.721860,192.168.2.186,10.0.5.25,17,24,447579,14523,425,0,normal
2025-12-08 16:16:03.522860,192.168.2.211,10.0.0.237,17,24,1585019,14100,316,0,normal
2025-12-08 16:15:54.181860,192.168.0.101,10.0.2.9,17,24,630792,4316,182,0,normal
2025-12-08 16:16:11.457860,192.168.2.21,10.0.2.108,6,16,89063,6851,529,0,normal
2025-12-08 16:15:41.178860,192.168.0.229,10.0.2.30,17,16,1308914,13709,86,0,normal
2025-12-08 16:16:16.713860,192.168.1.23,10.0.0.124,17,18,612538,8139,118,0,normal
2025-12-08 16:15:37.888860,192.168.2.23,10.0.5.69,17,16,1759099,18688,157,0,normal
2025-12-08 16:15:57.004860,192.168.5.100,10.0.2.81,6,18,1123799,7402,659,0,normal
2025-12-08 16:16:16.322860,192.168.0.199,10.0.1.27,17,24,1935532,13805,687,0,normal
2025-12-08 16:16:24.534860,203.0.141.200,10.0.3.232,17,0,0,34,1117,1,udp_flood
2025-12-08 16:16:19.726860,192.168.3.116,10.0.5.10,6,18,1010924,3208,303,0,normal
2025-12-08 16:15:41.726860,192.168.3.207,10.0.4.103,6,18,1139568,18088,672,0,normal
2025-12-08 16:15:38.512860,192.168.5.129,10.0.1.195,6,16,1487087,14524,620,0,normal
2025-12-08 16:16:14.701860,192.168.3.233,10.0.0.176,17,18,1387393,2558,662,0,normal
2025-12-08 16:15:43.241860,192.168.2.45,10.0.5.186,6,16,5626,15900,118,0,normal
2025-12-08 16:16:24.975860,198.51.211.252,10.0.2.46,6,0,42230,3808,62,1,port_scan
2025-12-08 16:15:53.377860,192.168.0.37,10.0.1.235,6,24,1486551,18080,324,0,normal
2025-12-08 16:15:47.727860,192.168.4.40,10.0.1.153,17,24,835181,18715,139,0,normal
2025-12-08 16:15:42.841860,192.168.4.30,10.0.4.252,17,24,1835180,8109,588,0,normal
2025-12-08 16:16:24.743860,203.0.203.75,10.0.2.168,17,0,0,3,1033,1,udp_flood
2025-12-08 16:16:20.044860,192.168.3.103,10.0.1.227,17,24,559061,10931,383,0,normal
2025-12-08 16:16:23.750860,198.51.141.76,10.0.0.164,6,2,8223,384,127,1,syn_flood
2025-12-08 16:16:24.172860,203.0.27.239,10.0.0.156,17,0,0,129,1140,1,udp_flood
2025-12-08 16:15:36.134860,192.168.1.210,10.0.5.16,17,16,1972062,7825,237,0,normal
2025-12-08 16:16:25.186860,198.51.110.190,10.0.5.168,6,0,60955,1178,66,1,port_scan
2025-12-08 16:15:52.953860,192.168.0.139,10.0.0.105,6,24,1582255,8361,522,0,normal
