ip.proto,tcp.flags,tcp.seq,tcp.window_size,frame.len
6,16,3534043,22075,94
6,16,1923166,40383,1390
6,16,7773083,21266,1114
6,16,4071159,58407,90
6,16,7494578,40833,1308
6,2,0,512,54
6,16,2660343,46099,97
6,16,285055,2714,54
6,16,9032466,1830,54
6,24,3100632,22547,95
6,16,4920470,17305,63
6,16,1669162,10320,91
6,2,0,512,54
6,16,8743257,52917,81
6,24,794646,38727,1033
6,16,6558848,22335,1507
6,16,6951415,47069,62
6,16,7768097,19002,93
6,24,7451233,47280,1116
6,16,7016163,14289,1468
6,16,506509,39410,1260
6,16,5728336,15033,1156
6,16,4104684,37511,71
6,24,5982479,46024,1364
6,16,5511146,29305,1083
6,16,5178151,0,242
6,16,1399357,25923,79
6,16,2959171,48451,89
6,16,3910960,14127,66
6,16,1385644,22743,1299
6,16,6600784,55964,87
6,16,389705,56937,1001
6,16,4865973,1969,54
6,16,4228059,4131,54
6,16,2112429,29810,1413
6,16,6791726,53605,71
6,16,7286300,43369,1477
6,24,5484727,46720,1030
6,2,0,1024,57
6,16,7474349,43321,1308
6,16,4451909,4360,54
6,16,2026034,30850,68
6,16,9352845,52577,61
6,16,4237073,37902,1076
6,16,3102680,58498,1194
6,16,6832535,3137,54
6,2,0,512,59
6,16,8717278,2871,54
6,2,0,512,58
6,24,1680739,17205,1495
6,24,6655190,62599,1038
6,16,7677878,48631,98
6,16,2124442,20841,78
6,24,6628549,20686,1326
6,24,7167842,30623,69
6,16,2822421,0,1095
6,16,2746088,0,517
6,2,0,1024,59
6,24,950854,34121,94
6,16,2141050,0,476
6,24,9542394,15946,83
6,24,9525860,27730,70
6,16,8135350,32785,71
6,16,9319339,65240,64
6,16,2075179,29597,65
6,2,0,1024,54
6,16,3515584,13127,87
6,16,7509249,0,269
6,16,810524,0,615
6,24,8959748,51381,69
6,24,1229807,25028,1031
6,2,0,512,56
6,2,0,1024,56
6,16,3916231,3753,54
6,16,6622518,52236,1263
6,16,9711185,61965,1036
6,24,1944949,43206,1470
6,16,8316829,17403,1357
6,2,0,512,54
6,16,5712853,13039,69
6,16,5439152,15919,82
6,16,4760256,2219,54
6,24,3409082,58693,73
6,16,795703,10236,1295
6,16,7079609,12340,64
6,16,233590,28857,76
6,16,6436320,14088,1201
6,16,3428482,36330,85
6,24,7823966,32760,85
6,2,0,512,56
6,24,6039688,52604,1389
6,16,8744433,37782,94
6,16,1109290,38807,1509
6,16,1005756,16584,98
6,16,9218994,40242,76
6,16,7964441,58444,84
6,16,387613,0,420
6,2,0,512,56
6,2,0,1024,54
6,16,9700632,51553,79
6,16,5239882,53874,1320
6,24,2238619,19701,1034
6,16,1842453,0,1176
6,16,7417011,47882,1438
6,16,6194717,60455,88
6,24,17035,39865,71
6,16,6749320,0,624
6,2,0,1024,57
6,16,2787134,0,123
6,16,8461425,46487,1326
6,16,9731613,12217,1331
6,16,4316098,14370,77
6,24,6654028,50734,87
6,16,7618913,3975,54
6,16,8860095,20196,78
6,16,7528305,63256,80
6,24,8486151,31637,1001
6,16,2731369,56892,67
6,16,5973019,1254,54
6,24,563529,59011,1481
6,16,1460369,16843,96
6,24,9482992,52814,71
6,16,8905806,41524,1381
6,24,5763019,14470,73
6,24,8599487,45562,79
6,2,0,1024,59
6,16,9809441,48731,1014
6,24,6687691,16896,68
6,16,1096021,0,1149
6,16,2268646,45802,87
6,24,6138741,44867,1241
6,2,0,512,57
6,24,9376799,13263,1406
6,24,8530941,18385,1472
6,16,1060520,60510,91
6,16,7091283,17892,91
6,16,5946352,16958,1486
6,16,3486215,55459,94
6,24,9085900,57411,1498
6,16,265124,62516,1349
6,16,9487215,54877,71
6,24,2931249,14529,90
6,16,361975,0,794
6,24,687671,35040,97
6,16,6561310,4890,54
6,24,4647387,40823,1496
6,16,1369615,44360,1288
6,16,2786572,19984,1404
6,16,2565624,45244,1172
6,24,4262524,46101,1272
6,16,2739037,11131,88
6,16,5313186,17459,1247
6,16,7543208,4720,54
6,24,9231640,52694,71
6,16,3349426,46074,84
6,16,7433195,1239,54
6,24,9155815,10277,99
6,24,7415207,33511,96
6,16,2486421,0,994
6,16,9967241,59271,1354
6,16,8881328,40934,1048
6,16,1483133,40539,1143
6,16,2806225,42444,1024
6,16,6971823,40105,1475
6,2,0,512,54
6,24,6953833,44495,61
6,16,1491867,52548,1342
6,2,0,1024,56
6,24,7046296,50015,75
6,24,6122668,22351,1189
6,16,4081771,39173,92
6,16,9707871,23642,71
6,24,6012058,22049,62
6,24,8067456,16590,1427
6,16,4628312,1057,54
6,16,792964,36924,65
6,16,4169764,14858,68
6,16,3679821,45073,1261
6,16,1843474,30127,1363
6,16,2218278,0,151
6,24,761591,36363,94
6,16,8092959,1992,54
6,16,4156656,12135,86
6,16,6195515,39504,1368
6,16,6767065,45524,1383
6,2,0,512,54
6,16,637537,61654,93
6,16,3260277,61122,77
6,24,1767433,30040,93
6,16,9399213,12479,65
6,16,8687475,29829,1101
6,24,4570882,36804,1137
6,2,0,512,54
6,24,3172950,19855,1229
6,16,5910606,1699,54
6,16,7100413,1393,54
6,16,1391860,4791,54
6,16,588444,25858,1104
6,16,3733855,36161,1325
6,16,5453304,47351,61
6,24,527373,15329,1051
6,16,9764784,17127,1279
6,24,8000437,37607,1290
6,16,5996788,11341,1136
6,24,3333726,54524,1177
6,16,5767274,19861,80
6,24,3955559,34995,80
6,16,5763096,0,349
6,2,0,512,59
6,16,4445538,26618,82
6,24,959155,11405,1266
6,2,0,1024,57
6,16,4789239,4895,54
6,16,6632473,45126,78
6,16,5283074,19287,1507
6,24,839687,45452,62
6,16,1226812,63267,75
6,16,4931696,65042,90
6,16,4606250,43511,92
6,16,8696624,14601,67
6,16,646754,37917,1411
6,16,3253106,38973,74
6,2,0,512,59
6,24,611612,35054,78
6,16,1538077,53557,64
6,16,1075577,22081,87
6,2,0,512,59
6,2,0,1024,56
6,2,0,1024,59
6,24,314797,61112,98
6,16,55848,0,306
6,16,1149593,44461,65
6,24,1713325,52991,79
6,16,6060209,34986,92
6,16,8290104,54320,68
6,16,356019,55201,86
6,16,7394683,25378,1070
6,2,0,512,59
6,16,2041545,59402,1368
6,16,6827729,57566,1495
6,16,3375904,52586,79
6,16,6404820,59236,79
6,16,1139453,62572,87
6,16,8545975,34670,1119
6,16,1079000,13237,67
6,16,3822953,22912,75
6,16,2683316,0,883
6,16,4904319,0,629
6,2,0,512,58
6,16,5926929,31949,67
6,16,4254480,30325,1207
6,16,7764188,19061,1174
6,24,8072248,57766,75
6,16,2645817,0,1498
6,16,5031310,39728,1088
6,2,0,512,58
6,16,2659716,4110,54
6,16,1801377,58521,1280
6,24,3319810,48964,72
6,2,0,1024,59
6,16,282464,20122,85
6,2,0,1024,59
6,2,0,1024,54
6,24,1663399,13691,70
6,2,0,512,54
6,16,7112738,50303,1098
6,16,570658,3272,54
6,24,2527741,56539,1320
6,16,7416374,35960,1431
6,16,4075048,10098,89
6,16,93055,2133,54
6,16,6973225,0,527
6,24,9792391,47398,1322
6,2,0,1024,54
6,16,9521706,0,772
6,2,0,512,56
6,24,4921263,35751,90
6,16,9466961,23369,1404
6,16,7083715,55354,1076
6,2,0,512,55
6,16,9848617,57897,97
6,24,1571767,19079,1173
6,24,1898979,10949,75
6,16,9736697,4111,54
6,16,294952,3573,54
6,16,1948379,4042,54
6,16,6119976,60986,1496
6,16,1075980,0,1044
6,24,7147358,25199,1473
6,24,9641278,13336,1108
6,24,104829,21075,1503
6,16,3746725,24812,67
6,16,2113669,1460,54
6,2,0,512,54
6,24,2236237,39062,1022
6,16,1474926,61430,1445
6,2,0,1024,54
6,16,6176422,1251,54
6,2,0,1024,59
6,2,0,512,57
6,24,4100695,60063,1391
6,16,7869421,35808,87
6,16,1898137,3831,54
6,16,5504711,41611,98
6,16,5272194,0,1399
6,16,7925433,33169,1171
6,2,0,1024,55
6,16,1520603,57055,97
6,16,2305902,3693,54
6,16,351318,26444,97
6,2,0,1024,54
6,24,5927289,11396,65
6,24,2779998,33802,1189
6,16,6180495,2802,54
6,16,823992,10338,1209
6,16,9093776,63618,86
6,16,2175423,4105,54
6,2,0,1024,55
6,16,8960241,42599,93
6,16,2064623,46691,1132
6,16,4449654,3911,54
6,16,9565866,2819,54
6,24,4047389,40518,61
6,24,4845826,42102,1370
6,24,7160893,59420,1218
6,16,8300487,21889,61
6,24,6256830,37271,1099
6,16,3091912,36968,69
6,16,8025600,0,70
6,16,1103749,64063,74
6,16,1117579,1355,54
6,16,2048410,3712,54
6,2,0,1024,59
6,16,3661932,38744,96
6,16,3454374,21354,1471
6,16,4826506,0,649
6,16,582924,1224,54
6,16,3365780,21703,96
6,16,1063175,1919,54
6,16,4879806,60556,93
6,16,9166779,32203,60
6,16,3993075,0,224
6,24,4841548,54944,1092
6,16,7564620,13627,68
6,24,9113559,29538,75
6,16,9986115,27530,99
6,16,9871653,47414,96
6,24,4392332,30544,94
6,16,6853279,64400,1484
6,16,1737582,28112,70
6,16,4013553,57415,1175
6,16,7923775,0,1164
6,16,1566877,1843,54
6,16,2758211,15331,92
6,16,2266311,26046,73
6,16,7217806,47820,1276
6,16,8914323,47257,75
6,16,9403426,53146,62
6,16,4012615,13856,63
6,16,3978545,19286,62
6,16,7056823,60213,1127
6,24,1252033,17612,1190
6,16,8875395,34871,96
6,24,5810497,63581,66
6,16,7377169,0,1305
6,16,378244,3459,54
6,2,0,512,59
6,24,9314202,29164,1399
6,16,8915333,15091,1375
6,24,5182771,14364,1255
6,16,3535435,56007,1162
6,16,8437232,0,1311
6,2,0,1024,54
6,16,6685620,49225,1383
6,16,1966961,0,1026
6,16,7039432,27790,90
6,16,1139403,0,1402
6,2,0,512,59
6,16,502197,46054,80
6,16,5996564,4271,54
6,24,3935965,22643,1049
6,24,7428230,16928,73
6,16,531935,65254,1306
6,2,0,1024,57
6,24,6183451,19309,98
6,24,6722412,55806,86
6,24,5304836,39803,71
6,16,7427741,55795,87
6,16,70032,16786,68
6,2,0,512,57
6,16,2682547,46276,82
6,16,1022017,32375,1144
6,24,2947936,58626,1143
6,16,9698598,20674,77
6,16,5258711,32552,1466
6,2,0,1024,58
6,24,2340014,13541,63
6,2,0,1024,54
6,24,1809770,57399,96
6,16,1548290,27403,68
6,24,2771919,11459,82
6,16,1311683,16170,1103
6,16,3157651,18927,1316
6,16,7963113,36589,1012
6,16,3433438,19321,68
6,16,3886157,0,163
6,16,4701906,60235,1238
6,16,3284730,25245,1220
6,16,6516966,43562,88
6,16,6366891,48337,79
6,2,0,512,58
6,16,422718,0,1144
6,16,9867677,0,1042
6,16,4133987,24543,73
6,16,8554713,47569,1436
6,16,426965,0,1097
6,16,1063194,1146,54
6,16,9303570,0,146
6,16,5391387,2784,54
6,16,8523816,40290,91
6,16,2439091,55387,1492
6,16,831589,15628,1272
6,24,9012477,14949,1201
6,24,5800284,15439,63
6,16,2379534,36973,99
6,16,8983955,64854,1292
6,16,5648308,53409,83
6,16,6410781,2396,54
6,16,9742885,0,1156
6,16,5333259,35686,1105
6,24,3382376,31746,1247
6,16,1766045,2931,54
6,16,20263,2288,54
6,16,7312879,25704,1092
6,24,6972462,18168,80
6,2,0,1024,55
6,2,0,512,56
6,16,395257,0,1224
6,24,3691998,56982,71
6,16,1177516,60417,63
6,16,7540635,0,881
6,16,1938272,13888,1047
6,24,4394215,47243,1218
6,2,0,512,58
6,24,8440871,10089,80
6,16,2523609,50642,74
6,16,1476586,33262,1212
6,2,0,1024,59
6,16,6839151,51271,62
6,16,6942895,33065,78
6,2,0,512,58
6,16,7832451,24160,1134
6,16,6037175,4689,54
6,16,8921666,50513,63
6,24,9821677,63883,96
6,16,60809,64122,1234
6,16,7508869,19786,1339
6,16,6024062,4620,54
6,16,2151249,41044,60
6,2,0,512,55
6,24,3805937,38934,96
6,16,2499699,1660,54
6,16,1975278,2037,54
6,16,2586453,61057,89
6,16,3766880,59022,60
6,16,8471988,32262,1123
6,24,6019490,56322,85
6,24,7927639,33678,1263
6,16,8019581,36816,75
6,2,0,1024,57
6,16,2007123,0,860
6,16,3289798,4549,54
6,16,8028618,37992,1119
6,16,7780845,36522,98
6,24,5058281,19378,85
6,24,1670100,17553,88
6,16,3094066,1389,54
6,16,1125437,41837,1100
6,16,5393183,27105,1479
6,16,4083179,4657,54
6,16,9520461,1236,54
6,2,0,512,54
6,16,6494547,25600,65
6,24,5365687,29867,1472
6,24,3540420,55207,1012
6,16,630792,0,1208
6,16,4782420,12791,1505
6,2,0,512,59
6,24,3668672,23854,73
6,16,3390375,58657,92
6,16,3030386,65095,1479
6,16,6223385,0,630
6,16,9229128,20774,80
6,16,9081414,52946,62
6,16,16886,41060,1113
6,16,8689269,55026,1268
6,16,3773240,28006,1473
6,16,8421719,58133,1050
6,16,5701454,33916,75
6,16,5179055,39507,1401
6,24,9427976,54129,83
6,2,0,1024,59
6,2,0,512,56
6,24,628439,24004,73
6,16,6577639,56744,61
6,16,7399029,33404,94
6,2,0,1024,57
6,16,4496189,34427,1016
6,24,1809278,22695,1348
6,16,6094753,0,1431
6,16,6465525,29511,1161
6,16,3315804,0,1074
6,16,5491552,42572,1203
6,2,0,512,59
6,24,8852720,26439,64
6,16,4425162,26795,1238
6,16,3760958,10368,93
6,16,6443266,42404,1061
6,16,9451394,19057,91
6,16,1892808,3561,54
6,16,2981755,48866,85
6,16,41283,2106,54
6,24,5409693,25126,1382
6,16,3405043,61066,87
6,16,7042717,52427,1481
6,16,6711568,1922,54
6,16,7733901,53697,72
6,16,1472949,32263,1341
6,24,8072560,48219,70
6,16,7120238,45343,1137
6,24,2437650,20799,77
6,24,389796,13017,1014
6,2,0,1024,56
6,24,9526491,53750,1332
6,16,3258937,1893,54
6,16,3910457,63112,85
6,16,8675550,1477,54
6,16,3157224,55473,82
6,16,5605056,54260,90
6,16,5384075,64283,63
6,16,155731,21401,73
6,16,5260589,38056,1278
6,16,1416408,53366,1233
6,16,7615273,13622,1300
6,2,0,512,55
6,16,335933,3987,54
6,16,2999697,59680,1183
6,16,4464856,24727,93
6,16,2546191,1597,54
6,24,3109063,11297,1390
6,16,9357680,1818,54
6,24,8342229,26263,1478
6,24,3362915,54136,88
6,16,7920124,16100,98
6,16,8650079,11388,79
6,2,0,512,54
6,2,0,1024,56
6,16,4466984,0,725
6,24,9552100,64453,1260
6,24,4774895,11237,70
6,16,1500269,1298,54
6,16,8059146,50229,1238
6,16,1755095,39763,1029
6,16,4107157,1901,54
6,24,9523748,19822,69
6,24,7513661,45171,1259
6,24,8762915,35741,1279
6,16,5506377,4047,54
6,16,7277828,64437,85
6,24,3074516,62041,98
6,16,595312,22186,99
6,24,193273,47281,71
6,16,2081271,3172,54
6,24,1671013,18074,1092
6,16,1286900,0,1471
6,16,4642901,1836,54
6,16,874132,0,659
6,24,62450,24004,80
6,16,9973932,58149,90
6,24,9638729,28913,94
6,2,0,512,54
6,16,4305716,65188,1447
6,24,8708933,39948,90
6,16,2251084,17535,62
6,16,2046463,44472,94
6,16,1038097,0,159
6,24,9660440,14974,1435
6,24,5798035,44741,1422
6,16,5214877,34128,1368
6,16,2179787,30679,1090
6,16,3902488,2259,54
6,2,0,512,54
6,16,5727786,35279,1475
6,16,6622270,49078,70
6,24,4846177,18678,1468
6,24,3177094,21313,1354
6,16,6582646,2123,54
6,16,8146870,19364,1106
6,16,537818,42186,86
6,16,2035520,65110,90
6,16,9761656,0,1098
6,16,3828414,25178,1439
6,24,8317057,50298,1152
6,16,4806426,34548,1424
6,16,9560831,32662,91
6,24,6646637,38809,69
6,16,654703,25656,79
6,16,3297801,32000,89
6,16,872590,38906,79
6,16,6317902,30041,1434
6,24,3660414,34427,1432
6,16,8965001,62243,91
6,16,4936567,52881,75
6,16,1905840,4668,54
6,2,0,1024,57
6,16,9773114,64370,99
6,16,1104668,0,67
6,16,7185467,25388,1159
6,16,8694722,4449,54
6,24,4286515,21941,1222
6,16,4513433,22809,1243
6,16,5157814,0,106
6,16,2187171,18089,1087
6,16,3852697,64427,1291
6,16,3706624,37619,1503
6,16,9539344,64688,1464
6,24,4043599,55929,1290
6,16,5117767,10812,62
6,16,6802853,29086,1283
6,16,839523,0,135
6,24,2297667,61477,1405
6,16,1330256,2143,54
6,16,5422004,28125,69
6,16,5641598,45429,1447
6,16,9535197,40066,79
6,24,5074808,44852,1320
6,16,5058959,0,1219
6,16,717414,61096,84
6,24,2786768,49589,64
6,24,8558902,22728,1147
6,16,7618861,15622,1255
6,2,0,512,59
6,16,9758473,57405,1411
6,2,0,512,54
6,16,2922292,0,1433
6,16,5196440,0,1295
6,16,2611270,16262,86
6,16,2709375,1330,54
6,24,7547183,56185,70
6,24,3216707,21352,86
6,16,8768373,61789,95
6,16,7929301,2809,54
6,2,0,1024,54
6,2,0,512,56
6,16,658407,2155,54
6,16,8886208,32275,81
6,24,8372658,58427,83
6,16,4267537,26281,78
6,16,6160558,0,415
6,16,4640661,37892,1248
6,24,5386684,29859,96
6,24,2629320,37732,1125
6,24,9564430,40271,65
6,16,1213577,0,696
6,24,7892406,14195,1393
6,16,7112817,39025,63
6,16,5318685,3558,54
6,16,4806491,41440,1203
6,16,5221523,0,954
6,16,6674725,3095,54
6,16,7640387,59743,64
6,16,9698175,26591,74
6,24,3967864,23766,61
6,16,9490752,38900,73
6,16,2933806,31692,1350
6,16,1079001,29178,61
6,16,173597,55363,1440
6,16,7621097,39414,1302
6,16,3164142,1789,54
6,16,8828856,62955,76
6,2,0,512,54
6,16,3411519,28474,60
6,24,7514998,55808,68
6,16,3753277,19553,97
6,24,2635077,23341,1134
6,16,3675705,4507,54
6,24,3199612,56813,1090
6,16,8178068,28364,96
6,24,9449016,13217,98
6,2,0,512,55
6,16,8028218,23955,95
6,2,0,1024,59
6,16,4608341,4081,54
6,16,6690500,22925,61
6,16,948558,63990,96
6,16,5241611,25583,1194
6,16,2498823,31433,1367
6,24,5496005,39009,1065
6,16,9847573,31579,70
6,16,4572928,63929,81
6,16,5354350,18616,84
6,24,2984302,60673,1221
6,16,4878288,65250,1139
6,24,5287082,36472,1365
6,24,2498528,60640,1073
6,2,0,512,58
6,2,0,1024,54
6,16,8201517,29463,73
6,16,4988890,25889,75
6,16,5041577,4798,54
6,16,5623284,10135,1397
6,16,3056642,19077,1262
6,16,7715974,61904,1173
6,24,2377552,57450,1071
6,16,5727342,47216,93
6,16,9649428,2321,54
6,16,1815993,4218,54
6,16,4300547,14383,62
6,24,7513331,26156,78
6,16,6395872,0,1385
6,16,1488500,35626,1339
6,16,4908535,0,588
6,16,7728531,2460,54
6,16,9675867,52238,1142
6,16,7923583,44160,1313
6,16,3533904,14087,1316
6,24,6339414,52266,1409
6,16,1120806,0,277
6,16,7197275,1859,54
6,16,1774096,61121,75
6,2,0,1024,59
6,16,3642853,0,1003
6,16,1508989,15390,1292
6,16,7941192,3947,54
6,16,748960,0,567
6,16,7410431,52814,1383
6,16,1984066,16152,1169
6,2,0,512,54
6,16,6568040,36897,65
6,2,0,1024,56
6,2,0,512,56
6,16,1617889,57307,1482
6,24,1645005,13542,1324
6,16,7798668,51958,75
6,16,8813502,3135,54
6,16,4841806,57098,1375
6,16,3831625,0,440
6,16,4648627,4892,54
6,16,1052892,3403,54
6,24,2566082,37266,75
6,16,2867468,4452,54
6,24,4688675,40727,1010
6,24,6699010,15733,65
6,16,5260751,45148,1332
6,16,1265108,0,516
6,16,5759183,2602,54
6,16,9749190,16787,96
6,24,8375579,48052,1418
6,16,9559054,2319,54
6,24,3448523,34084,1137
6,16,4217631,64862,1111
6,2,0,512,56
6,2,0,1024,55
6,16,6598325,18678,76
6,16,5635986,36447,1452
6,16,4914583,47662,90
6,16,8934811,18516,98
6,24,6250690,10453,1048
6,16,5683354,56725,1191
6,24,9656784,18436,1133
6,16,6548341,58144,1042
6,16,7282610,27466,94
6,24,8897441,51030,63
6,16,1272661,20914,1506
6,24,351937,65384,74
6,24,2221755,15172,1043
6,16,1123645,3973,54
6,16,2477211,45121,1430
6,16,2163893,61909,98
6,16,8136269,61753,1470
6,16,9811699,39733,1013
6,16,3995328,47968,1395
6,16,4143791,42471,1038
6,16,9341186,2970,54
6,24,8500387,37834,1012
6,16,5448097,31435,81
6,24,4076110,33229,92
6,16,9477908,26331,86
6,16,1675762,43563,81
6,24,4201336,37509,1387
6,16,7224360,28952,98
6,16,9941784,58029,68
6,16,3887062,3493,54
6,24,3578026,38102,1498
6,16,8903229,20552,1462
6,16,58539,34283,97
6,16,4342511,62658,68
6,16,4288979,64082,1347
6,16,366846,12878,1285
6,2,0,1024,57
6,24,925261,32738,69
6,2,0,1024,59
6,16,5662381,29641,1121
6,24,4624317,13392,93
6,24,6860661,28671,87
